t,x,v
5.283,0.000147775084989,-0.000248790354323
5.284,0.000147526503945,-0.000248371849635
5.285,0.000147278341055,-0.000247954048939
5.286,0.000147030595613,-0.000247536951048
5.287,0.000146783266919,-0.000247120554783
5.288,0.00014653635427,-0.000246704858961
5.289,0.000146289856968,-0.000246289862406
5.29,0.000146043774313,-0.000245875563941
5.291,0.000145798105608,-0.000245461962391
5.292,0.000145552850156,-0.000245049056584
5.293,0.000145308007263,-0.00024463684535
5.294,0.000145063576234,-0.00024422532752
5.295,0.000144819556377,-0.000243814501929
5.296,0.000144575947,-0.000243404367411
5.297,0.000144332747412,-0.000242994922804
5.298,0.000144089956925,-0.000242586166948
5.299,0.000143847574849,-0.000242178098683
5.3,0.000143605600499,-0.000241770716854
5.301,0.000143364033187,-0.000241364020305
5.302,0.00014312287223,-0.000240958007885
5.303,0.000142882116944,-0.000240552678441
5.304,0.000142641766646,-0.000240148030826
5.305,0.000142401820655,-0.000239744063891
5.306,0.000142162278291,-0.000239340776493
5.307,0.000141923138876,-0.000238938167488
5.308,0.000141684401731,-0.000238536235736
5.309,0.000141446066179,-0.000238134980095
5.31,0.000141208131546,-0.00023773439943
5.311,0.000140970597156,-0.000237334492606
5.312,0.000140733462336,-0.000236935258487
5.313,0.000140496726415,-0.000236536695944
5.314,0.000140260388721,-0.000236138803845
5.315,0.000140024448584,-0.000235741581064
5.316,0.000139788905336,-0.000235345026475
5.317,0.000139553758309,-0.000234949138953
5.318,0.000139319006836,-0.000234553917376
5.319,0.000139084650252,-0.000234159360625
5.32,0.000138850687894,-0.00023376546758
5.321,0.000138617119096,-0.000233372237126
5.322,0.000138383943199,-0.000232979668147
5.323,0.00013815115954,-0.000232587759532
5.324,0.00013791876746,-0.000232196510168
5.325,0.0001376867663,-0.000231805918948
5.326,0.000137455155403,-0.000231415984764
5.327,0.000137223934112,-0.000231026706511
5.328,0.000136993101772,-0.000230638083086
5.329,0.000136762657728,-0.000230250113387
5.33,0.000136532601327,-0.000229862796313
5.331,0.000136302931918,-0.000229476130769
5.332,0.000136073648849,-0.000229090115657
5.333,0.00013584475147,-0.000228704749883
5.334,0.000135616239133,-0.000228320032356
5.335,0.00013538811119,-0.000227935961984
5.336,0.000135160366994,-0.000227552537679
5.337,0.0001349330059,-0.000227169758354
5.338,0.000134706027263,-0.000226787622925
5.339,0.000134479430439,-0.000226406130308
5.34,0.000134253214788,-0.000226025279422
5.341,0.000134027379667,-0.000225645069187
5.342,0.000133801924436,-0.000225265498526
5.343,0.000133576848457,-0.000224886566363
5.344,0.000133352151091,-0.000224508271623
5.345,0.000133127831702,-0.000224130613235
5.346,0.000132903889653,-0.000223753590128
5.347,0.00013268032431,-0.000223377201234
5.348,0.00013245713504,-0.000223001445485
5.349,0.000132234321209,-0.000222626321817
5.35,0.000132011882186,-0.000222251829166
5.351,0.00013178981734,-0.00022187796647
5.352,0.000131568126043,-0.000221504732671
5.353,0.000131346807666,-0.000221132126711
5.354,0.000131125861581,-0.000220760147532
5.355,0.000130905287162,-0.000220388794081
5.356,0.000130685083784,-0.000220018065305
5.357,0.000130465250823,-0.000219647960153
5.358,0.000130245787656,-0.000219278477577
5.359,0.000130026693661,-0.000218909616529
5.36,0.000129807968217,-0.000218541375964
5.361,0.000129589610703,-0.000218173754837
5.362,0.000129371620501,-0.000217806752107
5.363,0.000129153996993,-0.000217440366734
5.364,0.000128936739562,-0.000217074597679
5.365,0.000128719847592,-0.000216709443905
5.366,0.000128503320469,-0.000216344904378
5.367,0.000128287157579,-0.000215980978063
5.368,0.000128071358309,-0.000215617663931
5.369,0.000127855922048,-0.00021525496095
5.37,0.000127640848184,-0.000214892868092
5.371,0.000127426136108,-0.000214531384332
5.372,0.000127211785212,-0.000214170508645
5.373,0.000126997794889,-0.000213810240008
5.374,0.00012678416453,-0.0002134505774
5.375,0.000126570893532,-0.000213091519801
5.376,0.00012635798129,-0.000212733066193
5.377,0.000126145427199,-0.000212375215561
5.378,0.000125933230658,-0.000212017966891
5.379,0.000125721391065,-0.000211661319169
5.38,0.000125509907819,-0.000211305271385
5.381,0.000125298780322,-0.00021094982253
5.382,0.000125088007975,-0.000210594971596
5.383,0.00012487759018,-0.000210240717577
5.384,0.000124667526341,-0.000209887059469
5.385,0.000124457815863,-0.00020953399627
5.386,0.000124248458151,-0.00020918152698
5.387,0.000124039452611,-0.000208829650598
5.388,0.000123830798652,-0.000208478366128
5.389,0.000123622495682,-0.000208127672574
5.39,0.00012341454311,-0.000207777568942
5.391,0.000123206940348,-0.000207428054239
5.392,0.000122999686806,-0.000207079127476
5.393,0.000122792781897,-0.000206730787662
5.394,0.000122586225035,-0.000206383033811
5.395,0.000122380015635,-0.000206035864938
5.396,0.000122174153111,-0.000205689280056
5.397,0.00012196863688,-0.000205343278186
5.398,0.00012176346636,-0.000204997858345
5.399,0.00012155864097,-0.000204653019555
5.4,0.000121354160128,-0.000204308760839
5.401,0.000121150023255,-0.00020396508122
5.402,0.000120946229773,-0.000203621979724
5.403,0.000120742779103,-0.000203279455379
5.404,0.00012053967067,-0.000202937507215
5.405,0.000120336903897,-0.000202596134261
5.406,0.00012013447821,-0.00020225533555
5.407,0.000119932393035,-0.000201915110117
5.408,0.000119730647799,-0.000201575456997
5.409,0.000119529241931,-0.000201236375226
5.41,0.000119328174858,-0.000200897863845
5.411,0.000119127446013,-0.000200559921894
5.412,0.000118927054825,-0.000200222548414
5.413,0.000118727000727,-0.00019988574245
5.414,0.000118527283151,-0.000199549503047
5.415,0.000118327901532,-0.000199213829252
5.416,0.000118128855305,-0.000198878720113
5.417,0.000117930143904,-0.00019854417468
5.418,0.000117731766768,-0.000198210192006
5.419,0.000117533723333,-0.000197876771143
5.42,0.000117336013039,-0.000197543911147
5.421,0.000117138635324,-0.000197211611074
5.422,0.00011694158963,-0.000196879869982
5.423,0.000116744875398,-0.000196548686932
5.424,0.00011654849207,-0.000196218060983
5.425,0.000116352439091,-0.0001958879912
5.426,0.000116156715903,-0.000195558476646
5.427,0.000115961321953,-0.000195229516387
5.428,0.000115766256686,-0.000194901109492
5.429,0.00011557151955,-0.000194573255029
5.43,0.000115377109992,-0.000194245952069
5.431,0.000115183027462,-0.000193919199684
5.432,0.000114989271409,-0.000193592996949
5.433,0.000114795841285,-0.000193267342938
5.434,0.000114602736541,-0.000192942236728
5.435,0.000114409956629,-0.000192617677399
5.436,0.000114217501004,-0.000192293664029
5.437,0.00011402536912,-0.000191970195702
5.438,0.000113833560431,-0.000191647271499
5.439,0.000113642074395,-0.000191324890506
5.44,0.000113450910469,-0.000191003051808
5.441,0.000113260068111,-0.000190681754494
5.442,0.00011306954678,-0.000190360997653
5.443,0.000112879345936,-0.000190040780375
5.444,0.00011268946504,-0.000189721101754
5.445,0.000112499903554,-0.000189401960882
5.446,0.000112310660939,-0.000189083356856
5.447,0.000112121736661,-0.000188765288773
5.448,0.000111933130183,-0.00018844775573
5.449,0.000111744840972,-0.000188130756827
5.45,0.000111556868492,-0.000187814291167
5.451,0.000111369212212,-0.000187498357853
5.452,0.000111181871599,-0.000187182955988
5.453,0.000110994846123,-0.000186868084678
5.454,0.000110808135253,-0.000186553743032
5.455,0.000110621738461,-0.000186239930159
5.456,0.000110435655217,-0.000185926645168
5.457,0.000110249884995,-0.000185613887172
5.458,0.000110064427267,-0.000185301655285
5.459,0.000109879281509,-0.00018498994862
5.46,0.000109694447195,-0.000184678766296
5.461,0.000109509923802,-0.00018436810743
5.462,0.000109325710806,-0.000184057971141
5.463,0.000109141807686,-0.00018374835655
5.464,0.00010895821392,-0.000183439262779
5.465,0.000108774928987,-0.000183130688954
5.466,0.000108591952369,-0.000182822634198
