time,energy,energy_error,angle,angular_velocity
0.446442,2.87035,-2.93099e-14,0.178957,-2.32974
0.448103,2.87035,-2.9754e-14,0.175086,-2.33261
0.449762,2.87035,-2.9754e-14,0.171213,-2.33541
0.45142,2.87035,-2.79776e-14,0.167339,-2.33815
0.453077,2.87035,-2.84217e-14,0.163463,-2.34082
0.454733,2.87035,-2.79776e-14,0.159586,-2.34343
0.456387,2.87035,-2.79776e-14,0.155707,-2.34597
0.45804,2.87035,-2.75335e-14,0.151827,-2.34845
0.459692,2.87035,-2.70894e-14,0.147945,-2.35087
0.461343,2.87035,-2.57572e-14,0.144062,-2.35323
0.462993,2.87035,-2.4869e-14,0.140178,-2.35552
0.464642,2.87035,-2.66454e-14,0.136292,-2.35774
0.466289,2.87035,-2.57572e-14,0.132405,-2.35991
0.467936,2.87035,-2.53131e-14,0.128517,-2.362
0.469582,2.87035,-2.57572e-14,0.124628,-2.36404
0.471227,2.87035,-2.44249e-14,0.120738,-2.36601
0.472871,2.87035,-2.4869e-14,0.116847,-2.36792
0.474514,2.87035,-2.53131e-14,0.112954,-2.36977
0.476156,2.87035,-2.57572e-14,0.109061,-2.37155
0.477798,2.87035,-2.44249e-14,0.105166,-2.37327
0.479439,2.87035,-2.57572e-14,0.101271,-2.37493
0.481079,2.87035,-2.4869e-14,0.0973743,-2.37652
0.482718,2.87035,-2.53131e-14,0.0934769,-2.37805
0.484357,2.87035,-2.4869e-14,0.0895787,-2.37952
0.485995,2.87035,-2.39808e-14,0.0856797,-2.38093
0.487633,2.87035,-2.26485e-14,0.0817798,-2.38227
0.48927,2.87035,-2.22045e-14,0.0778792,-2.38355
0.490906,2.87035,-2.17604e-14,0.0739778,-2.38476
0.492542,2.87035,-2.26485e-14,0.0700757,-2.38592
0.494177,2.87035,-2.35367e-14,0.0661729,-2.38701
0.495812,2.87035,-2.35367e-14,0.0622695,-2.38804
0.497447,2.87035,-2.44249e-14,0.0583654,-2.389
0.499081,2.87035,-2.39808e-14,0.0544607,-2.38991
0.500714,2.87035,-2.44249e-14,0.0505555,-2.39075
0.502348,2.87035,-2.53131e-14,0.0466498,-2.39152
0.503981,2.87035,-2.4869e-14,0.0427435,-2.39224
0.505614,2.87035,-2.30926e-14,0.0388367,-2.39289
0.507247,2.87035,-2.30926e-14,0.0349296,-2.39348
0.508879,2.87035,-2.22045e-14,0.031022,-2.39401
0.510511,2.87035,-2.30926e-14,0.027114,-2.39447
0.512143,2.87035,-2.26485e-14,0.0232057,-2.39488
0.513775,2.87035,-2.17604e-14,0.019297,-2.39522
0.515407,2.87035,-2.22045e-14,0.0153881,-2.39549
0.517039,2.87035,-2.30926e-14,0.0114789,-2.39571
0.518671,2.87035,-2.26485e-14,0.00756941,-2.39586
0.520303,2.87035,-2.30926e-14,0.00365977,-2.39595
0.521934,2.87035,-2.26485e-14,-0.00025005,-2.39598
0.523566,2.87035,-2.22045e-14,-0.00416001,-2.39594
0.525198,2.87035,-2.08722e-14,-0.00807008,-2.39584
0.52683,2.87035,-1.9984e-14,-0.0119802,-2.39568
0.528463,2.87035,-1.90958e-14,-0.0158904,-2.39546
0.530095,2.87035,-1.95399e-14,-0.0198007,-2.39518
0.531728,2.87035,-1.9984e-14,-0.0237109,-2.39483
0.533361,2.87035,-1.86517e-14,-0.0276211,-2.39442
0.534994,2.87035,-1.90958e-14,-0.0315312,-2.39394
0.536627,2.87035,-1.86517e-14,-0.0354412,-2.39341
0.538261,2.87035,-1.68754e-14,-0.0393511,-2.39281
0.539895,2.87035,-1.59872e-14,-0.0432609,-2.39215
0.54153,2.87035,-1.5099e-14,-0.0471704,-2.39142
0.543165,2.87035,-1.46549e-14,-0.0510798,-2.39064
0.5448,2.87035,-1.46549e-14,-0.0549889,-2.38979
0.546436,2.87035,-1.37668e-14,-0.0588977,-2.38887
0.548073,2.87035,-1.33227e-14,-0.0628062,-2.3879
0.54971,2.87035,-1.15463e-14,-0.0667143,-2.38686
0.551347,2.87035,-1.24345e-14,-0.0706221,-2.38576
0.552985,2.87035,-1.24345e-14,-0.0745295,-2.3846
0.554624,2.87035,-1.24345e-14,-0.0784364,-2.38337
0.556264,2.87035,-1.19904e-14,-0.0823429,-2.38208
0.557904,2.87035,-1.28786e-14,-0.0862489,-2.38072
0.559545,2.87035,-1.33227e-14,-0.0901544,-2.37931
0.561187,2.87035,-1.11022e-14,-0.0940593,-2.37783
0.562829,2.87035,-1.19904e-14,-0.0979636,-2.37629
0.564472,2.87035,-1.28786e-14,-0.101867,-2.37468
0.566117,2.87035,-1.33227e-14,-0.10577,-2.37301
0.567762,2.87035,-1.46549e-14,-0.109673,-2.37128
0.569408,2.87035,-1.37668e-14,-0.113574,-2.36948
0.571055,2.87035,-1.42109e-14,-0.117475,-2.36762
0.572702,2.87035,-1.33227e-14,-0.121375,-2.36569
0.574351,2.87035,-1.46549e-14,-0.125274,-2.36371
0.576001,2.87035,-1.5099e-14,-0.129173,-2.36166
0.577652,2.87035,-1.42109e-14,-0.13307,-2.35954
0.579305,2.87035,-1.42109e-14,-0.136967,-2.35736
0.580958,2.87035,-1.42109e-14,-0.140862,-2.35512
0.582612,2.87035,-1.33227e-14,-0.144757,-2.35281
0.584268,2.87035,-1.33227e-14,-0.148651,-2.35044
0.585925,2.87035,-1.28786e-14,-0.152543,-2.348
0.587583,2.87035,-1.33227e-14,-0.156435,-2.3455
0.589243,2.87035,-1.24345e-14,-0.160325,-2.34294
0.590904,2.87035,-1.06581e-14,-0.164214,-2.34031
0.592566,2.87035,-1.15463e-14,-0.168102,-2.33761
0.59423,2.87035,-1.06581e-14,-0.171988,-2.33485
0.595895,2.87035,-1.02141e-14,-0.175874,-2.33203
0.597561,2.87035,-1.06581e-14,-0.179758,-2.32914
0.599229,2.87035,-1.06581e-14,-0.183641,-2.32619
0.600899,2.87035,-1.11022e-14,-0.187522,-2.32317
0.60257,2.87035,-1.24345e-14,-0.191402,-2.32008
0.604243,2.87035,-1.24345e-14,-0.19528,-2.31693
0.605917,2.87035,-1.24345e-14,-0.199157,-2.31372
0.607593,2.87035,-1.28786e-14,-0.203032,-2.31044
0.609271,2.87035,-1.37668e-14,-0.206906,-2.30709
0.610951,2.87035,-1.37668e-14,-0.210778,-2.30368
0.612632,2.87035,-1.42109e-14,-0.214648,-2.3002
0.614315,2.87035,-1.42109e-14,-0.218517,-2.29665
0.616,2.87035,-1.5099e-14,-0.222384,-2.29304
0.617687,2.87035,-1.42109e-14,-0.226249,-2.28937
0.619376,2.87035,-1.37668e-14,-0.230112,-2.28562
0.621067,2.87035,-1.46549e-14,-0.233974,-2.28181
0.62276,2.87035,-1.33227e-14,-0.237833,-2.27793
0.624454,2.87035,-1.37668e-14,-0.24169,-2.27399
0.626151,2.87035,-1.37668e-14,-0.245546,-2.26998
0.62785,2.87035,-1.33227e-14,-0.249399,-2.2659
0.629552,2.87035,-1.37668e-14,-0.25325,-2.26175
0.631255,2.87035,-1.33227e-14,-0.257099,-2.25754
0.632961,2.87035,-1.33227e-14,-0.260946,-2.25326
0.634668,2.87035,-1.37668e-14,-0.26479,-2.24891
0.636379,2.87035,-1.33227e-14,-0.268633,-2.24449
0.638091,2.87035,-1.33227e-14,-0.272472,-2.24001
0.639806,2.87035,-1.24345e-14,-0.27631,-2.23545
0.641523,2.87035,-1.24345e-14,-0.280145,-2.23083
