t,x_num,v_num,x_exact,energy_num
1.728,-0.137790290824,6.22325267714,-0.137790290685,19.7392088021
1.729,-0.131564359232,6.22856954231,-0.131564359093,19.7392088021
1.73,-0.125333233704,6.23364051422,-0.125333233565,19.7392088021
1.731,-0.119097160235,6.23846539268,-0.119097160095,19.7392088021
1.732,-0.112856385014,6.2430439872,-0.112856384874,19.7392088021
1.733,-0.106611154416,6.24737611704,-0.106611154276,19.7392088021
1.734,-0.100361714992,6.25146161117,-0.100361714852,19.7392088021
1.735,-0.0941083134594,6.25530030829,-0.094108313319,19.7392088021
1.736,-0.0878511966918,6.25889205687,-0.0878511965512,19.7392088021
1.737,-0.0815906117094,6.26223671511,-0.0815906115687,19.7392088021
1.738,-0.0753268056693,6.26533415097,-0.0753268055284,19.7392088021
1.739,-0.0690600258559,6.26818424216,-0.0690600257149,19.7392088021
1.74,-0.062790519671,6.27078687617,-0.0627905195298,19.7392088021
1.741,-0.0565185346238,6.27314195025,-0.0565185344825,19.7392088021
1.742,-0.0502443183217,6.27524937143,-0.0502443181803,19.7392088021
1.743,-0.0439681184599,6.27710905651,-0.0439681183184,19.7392088021
1.744,-0.0376901828121,6.27872093208,-0.0376901826704,19.7392088021
1.745,-0.0314107592204,6.28008493449,-0.0314107590786,19.7392088021
1.746,-0.0251300955858,6.2812010099,-0.0251300954438,19.7392088021
1.747,-0.0188484398579,6.28206911425,-0.0188484397159,19.7392088021
1.748,-0.012566040026,6.28268921327,-0.0125660398839,19.7392088021
1.749,-0.00628314410828,6.28306128247,-0.00628314396607,19.7392088021
1.75,-1.42807871551e-10,6.28318530717,-5.15572109806e-13,19.7392088021
1.751,0.00628314382267,6.28306128248,0.00628314396504,19.7392088021
1.752,0.0125660397404,6.28268921329,0.0125660398828,19.7392088021
1.753,0.0188484395724,6.28206911428,0.0188484397149,19.7392088021
1.754,0.0251300953002,6.28120100994,0.0251300954428,19.7392088021
1.755,0.031410758935,6.28008493454,0.0314107590776,19.7392088021
1.756,0.0376901825267,6.27872093214,0.0376901826694,19.7392088021
1.757,0.0439681181746,6.27710905659,0.0439681183173,19.7392088021
1.758,0.0502443180365,6.27524937152,0.0502443181792,19.7392088021
1.759,0.0565185343387,6.27314195036,0.0565185344815,19.7392088021
1.76,0.0627905193859,6.27078687628,0.0627905195288,19.7392088021
1.761,0.069060025571,6.26818424229,0.0690600257139,19.7392088021
1.762,0.0753268053845,6.2653341511,0.0753268055274,19.7392088021
1.763,0.0815906114247,6.26223671526,0.0815906115676,19.7392088021
1.764,0.0878511964073,6.25889205703,0.0878511965502,19.7392088021
1.765,0.0941083131751,6.25530030846,0.094108313318,19.7392088021
1.766,0.100361714708,6.25146161135,0.100361714851,19.7392088021
1.767,0.106611154132,6.24737611723,0.106611154275,19.7392088021
1.768,0.11285638473,6.2430439874,0.112856384873,19.7392088021
1.769,0.119097159951,6.23846539289,0.119097160094,19.7392088021
1.77,0.125333233421,6.23364051445,0.125333233564,19.7392088021
1.771,0.131564358949,6.22856954255,0.131564359092,19.7392088021
1.772,0.137790290541,6.22325267739,0.137790290684,19.7392088021
1.773,0.144010782409,6.21769012887,0.144010782552,19.7392088021
1.774,0.150225588978,6.21188211659,0.15022558912,19.7392088021
1.775,0.156434464897,6.20582886984,0.15643446504,19.7392088021
